lemma,ipm,deceptiveness,metaphone_code,metaphone_neighbours,parsing,levenstein_neighbours,possible_cognate
аббревиатура,1.71,0.06,абривиатура,[],аббреви:ROOT/ат:SUFF/ур:SUFF/а:END,[],"['аббревиация', 'аббревиатура']"
абитуриент,2.11679971799379,0.3,абитуринт,[],абитури:ROOT/ент:SUFF,[],"['абитуриент', 'абитуриентский']"
агар,0.38854620374335297,0.12,агар,[],агар:ROOT,"['агат', 'ангар', 'нагар', 'авар', 'угар', 'загар']","['агарянка', 'агаровый', 'агарный', 'агар-агар', 'агарянин']"
адресант,0.074600871118724,0.32,адрисант,[],адрес:ROOT/ант:SUFF,"['арестант', 'десант', 'адресат']","['адресный', 'адресат', 'адресовать', 'переадресовывать', 'адресно-справочный', 'переадресованный', 'адресоваться', 'адрес-календарь', 'двухадресный', 'переадресовываться', 'адресование', 'переадресовка', 'адресация', 'адрес', 'адресант', 'переадресовать', 'адресованный', 'хеш-адресация']"
актировать,0.161635220757235,0.26,актиравать,[],акт:ROOT/ир:SUFF/ова:SUFF/ть:SUFF,"['матировать', 'азотировать', 'макетировать', 'датировать', 'каптировать', 'заактировать', 'актироваться', 'йотировать', 'сактировать', 'лакировать', 'пакетировать', 'армировать', 'цитировать', 'анкетировать', 'вотировать', 'котировать', 'тировать', 'юстировать', 'активировать', 'оптировать', 'шатировать', 'аэрировать', 'агитировать', 'таксировать', 'алитировать']","['актирование', 'одноактный', 'актированный', 'заактированный', 'пятиактный', 'акт', 'актироваться', 'актировать', 'сактированный', 'четырехактный', 'трехактный', 'заактировать', 'сактировать', 'актовый', 'многоактный', 'двухактный']"
алебарда,0.88,0.2,алибарда,[],алебард:ROOT/а:END,[],"['алебарда', 'алебардовый', 'алебардный']"
аллюр,0.87,0.13,алур,[],аллюр:ROOT,[],['аллюр']
альманах,5.4738389183363605,0.1,алманах,[],альманах:ROOT,[],"['киноальманах', 'альманах', 'альманашный']"
антиутопия,0.48801403190165105,0.09,антиутапиа,[],анти:PREF/утопи:ROOT/я:END,[],"['утопизм', 'утопический', 'утопист', 'утопичный', 'утопия', 'утопистка', 'антиутопия']"
апеллировать,2.58,0.37,апилиравать,[],апелл:ROOT/ир:SUFF/ова:SUFF/ть:SUFF,['капелировать'],"['апелляционный', 'апеллирование', 'апеллировать', 'апелла', 'апеллянт', 'апелляция', 'апеллент']"
арак,0.630999034879205,0.18,арак,['арык'],арак:ROOT,"['фрак', 'арык', 'арап', 'трак', 'арат', 'барак', 'араб', 'мрак', 'абак']","['аратский', 'арат', 'арак']"
аффект,2.9,0.28,афикт,[],аффект:ROOT,"['аспект', 'аффикс', 'эффект', 'дефект']","['аффектировать', 'аффектация', 'аффект', 'аффектированный', 'аффективный']"
бакалея,0.41,0.28,бакалиа,[],бакале:ROOT/я:END,"['батарея', 'баталер', 'баталия']",['бакалея']
бандура,0.63,0.1,бандура,[],бандур:ROOT/а:END,"['банда', 'хандра', 'байдара', 'баядера']","['бандурист', 'бандура', 'бандуристка']"
баргузин,0.27353652743532003,0.17,баргузин,[],баргузин:ROOT,[],['баргузин']
бейдж,0.07,0.03,бийтш,[],бейдж:ROOT,[],[]
